City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,margaret river,-36.1735,92.7428,13.27,66,100,8.57,1690381506
1,tazovsky,82.3057,73.656,0.17,96,100,3.86,1690381507
2,fale old settlement,-6.1947,-159.6749,27.87,72,80,8.83,1690381507
3,ilulissat,87.837,-52.6846,0.32,92,100,5.39,1690381511
4,port-aux-francais,-70.1194,101.7936,-56.45,76,94,7.47,1690381513
5,tarancon,39.8683,-3.0423,31.38,20,0,1.39,1690381514
6,reggane,27.4168,0.4638,46.74,5,0,4.37,1690381515
7,puerto natales,-67.4888,-92.0603,-3.15,95,100,9.17,1690381515
8,longyearbyen,88.2354,7.9998,0.25,90,100,5.49,1690381516
9,nemuro,38.2497,156.7598,23.37,82,3,6.0,1690381516
10,egremont,54.3477,-3.7131,18.9,77,100,6.31,1690381517
11,port-aux-francais,-38.1943,69.1921,13.23,86,82,9.49,1690381517
12,invercargill,-85.1059,161.3414,-42.86,79,77,8.48,1690381517
13,port mathurin,-21.9241,67.4459,22.79,78,1,7.91,1690381518
14,kimbe,-4.0964,149.4744,28.91,71,99,9.15,1690381518
15,college,86.9888,-146.6482,0.27,85,100,6.28,1690381518
16,kingston,-33.7153,166.2774,14.87,63,99,9.45,1690381519
17,haiku-pauwela,30.4782,-149.32,22.79,74,13,3.48,1690381519
18,puerto aysen,-46.6491,-77.392,6.44,63,100,3.4,1690381520
19,port hedland,-19.2155,118.7626,21.81,47,66,2.6,1690381520
20,stanley,-52.7684,-56.9218,3.28,73,100,10.51,1690381520
21,adamstown,-14.0807,-114.0881,23.72,74,4,6.27,1690381521
22,merizo village,8.2871,143.3527,28.12,81,100,12.98,1690381521
23,bokani,9.745,5.094,30.93,61,96,0.9,1690381526
24,edinburgh of the seven seas,-55.6885,-8.5902,-3.05,63,100,15.81,1690381527
25,timbiqui,3.1684,-77.6068,25.58,87,100,2.06,1690381527
26,haapsalu,58.1795,23.5953,20.03,73,100,6.86,1690381527
27,yaren,-4.646,166.9231,28.87,77,100,4.97,1690381528
28,tofol,3.7715,163.0979,28.6,73,12,4.18,1690381528
29,nagqu,32.5045,94.5847,2.32,82,46,1.35,1690381528
30,yellowknife,72.4619,-109.1927,18.65,34,5,2.54,1690381529
31,bethel,55.6833,-174.8949,8.51,98,100,5.7,1690381529
32,adamstown,-68.3865,-137.1229,-17.55,96,100,9.09,1690381530
33,rantepao,-2.4213,119.9724,16.44,98,100,0.86,1690381530
34,whitehorse,64.0094,-134.642,11.83,66,18,1.21,1690381530
35,port-aux-francais,-51.9781,45.5203,1.58,80,100,12.35,1690381531
36,adamstown,-42.4298,-108.095,10.15,93,100,8.92,1690381531
37,bich'vinta,42.6525,40.0142,25.73,66,0,3.57,1690381532
38,adamstown,-53.4915,-113.6355,4.92,94,100,12.73,1690381532
39,edinburgh of the seven seas,-71.5659,4.0445,-27.78,65,95,3.48,1690381532
40,atafu village,-2.9242,-169.9274,28.36,76,25,6.93,1690381538
41,xinzo de limia,41.8434,-7.9344,26.43,44,0,0.53,1690381538
42,atherton,-17.6069,145.0106,15.81,91,100,5.94,1690381538
43,muzaffarabad,34.6814,73.6201,17.89,93,76,1.35,1690381539
44,vernon,47.6589,-128.0936,15.27,80,2,3.21,1690381539
45,bethel,52.741,-161.1711,10.86,99,100,4.04,1690381539
46,prince rupert,45.9508,-136.7319,15.82,77,100,5.87,1690381540
47,riosucio,6.8957,-78.5575,25.26,89,100,7.25,1690381540
48,flying fish cove,-9.9675,105.9927,25.77,79,98,7.87,1690381541
49,port-aux-francais,-49.9797,87.9603,2.69,67,100,5.11,1690381541
50,adamstown,-29.7709,-116.8825,21.0,82,100,20.75,1690381542
51,salalah,18.9952,52.6516,44.77,11,16,2.71,1690381542
52,faya-largeau,20.0966,20.3646,39.49,6,3,6.21,1690381542
53,dampit,-13.4595,112.2828,24.91,71,11,7.57,1690381542
54,port-aux-francais,-78.0022,100.7821,-64.02,100,100,5.86,1690381543
55,nova sintra,11.808,-29.3958,27.43,80,83,3.54,1690381543
56,grytviken,-62.083,-35.1928,-2.98,94,100,10.78,1690381543
57,parabel',58.8436,82.1684,19.28,80,12,2.29,1690381545
58,port lincoln,-31.71,128.5053,17.63,31,100,7.09,1690381545
59,georgetown,0.1619,-16.6915,23.4,81,56,5.44,1690381546
60,thompson,58.6538,-95.6264,14.29,62,99,3.86,1690381546
